홈 \ 어웨이	ARS	AVL	BOU	BHA	BUR	CHE	CRY	EVE	LEI	LIV	MCI	MUN	NEW	NOR	SHU	SOU	TOT	WAT	WHU	WOL
ARS		-	3-2	1-0	1-2	2-1	1-2	2-2	3-2	1-1	2-1	0-3	2-0	4-0	4-0	1-1	2-2	2-1	3-2	1-0	1-1
AVL		1-0	-	1-2	2-1	2-2	1-2	2-0	2-0	1-4	1-2	1-6	0-3	2-0	1-0	0-0	1-3	2-3	2-1	0-0	0-1
BOU		1-1	2-1	-	3-1	0-1	2-2	0-2	3-1	4-1	0-3	1-3	1-0	1-4	0-0	1-1	0-2	0-0	0-3	2-2	1-2
BHA		2-1	1-1	2-0	-	1-1	1-1	0-1	3-2	0-2	1-3	0-5	0-3	0-0	2-0	0-1	0-2	3-0	1-1	1-1	2-2
BUR		0-0	1-2	3-0	1-2	-	2-4	0-2	1-0	2-1	0-3	1-4	0-2	1-0	2-0	1-1	3-0	1-1	1-0	3-0	1-1
CHE		2-2	2-1	0-1	2-0	3-0	-	2-0	4-0	1-1	1-2	2-1	0-2	1-0	1-0	2-2	0-2	2-1	3-0	0-1	2-0
CRY		1-1	1-0	1-0	1-1	0-1	2-3	-	0-0	0-2	1-2	0-2	0-2	1-0	2-0	0-1	0-2	1-1	1-0	2-1	1-1
EVE		0-0	1-1	1-3	1-0	1-0	3-1	3-1	-	2-1	0-0	1-3	1-1	2-2	0-2	0-2	1-1	1-1	1-0	2-0	3-2
LEI		2-0	4-0	3-1	0-0	2-1	2-2	3-0	2-1	-	0-4	0-1	0-2	5-0	1-1	2-0	1-2	2-1	2-0	4-1	0-0
LIV		3-1	2-0	2-1	2-1	1-1	5-3	4-0	5-2	2-1	-	3-1	2-0	3-1	4-1	2-0	4-0	2-1	2-0	3-2	1-0
MCI		3-0	3-0	2-1	4-0	5-0	2-1	2-2	2-1	3-1	4-0	-	1-2	5-0	5-0	2-0	2-1	2-2	8-0	2-0	0-2
MUN		1-1	2-2	5-2	3-1	0-2	4-0	1-2	1-1	1-0	1-1	2-0	-	4-1	4-0	3-0	2-2	2-1	3-0	1-1	0-0
NEW		0-1	1-1	2-1	0-0	0-0	1-0	1-0	1-2	0-3	1-3	2-2	1-0	-	0-0	3-0	2-1	1-3	1-1	2-2	1-1
NOR		2-2	1-5	1-0	0-1	0-2	2-3	1-1	0-1	1-0	0-1	3-2	1-3	3-1	-	1-2	0-3	2-2	0-2	0-4	1-2
SHU		1-0	2-0	2-1	1-1	3-0	3-0	1-0	0-1	1-2	0-1	0-1	3-3	0-2	1-0	-	0-1	3-1	1-1	1-0	1-0
SOU		0-2	2-0	1-3	1-1	1-2	1-4	1-1	1-2	0-9	1-2	1-0	1-1	0-1	2-1	3-1	-	1-0	2-1	0-1	2-3
TOT		2-1	3-1	3-2	2-1	5-0	0-2	4-0	1-0	3-0	0-1	2-0	1-1	0-1	2-1	1-1	2-1	-	1-1	2-0	2-3
WAT		2-2	3-0	0-0	0-3	0-3	1-2	0-0	2-3	1-1	3-0	0-4	2-0	2-1	2-1	0-0	1-3	0-0	-	1-3	2-1
WHU		1-3	1-1	4-0	3-3	0-1	3-2	1-2	1-1	1-2	0-2	0-5	2-0	2-3	2-0	1-1	3-1	2-3	3-1	-	0-2
WOL		0-2	2-1	1-0	0-0	1-1	2-5	2-0	3-0	0-0	1-2	3-2	1-1	1-1	3-0	1-1	1-1	1-2	2-0	2-0	-
